text,label,doc_type,source,verified,region
"Mabvuku-Tafara District Housing Office. Stand 4525 Waterfalls, 200 sqm. held under General Plan SG 1427/2018, Surveyor-General Harare. council resolution CH/RES/5039/2025 refers. registration will be lodged at the Deeds Registry, Harare. USD 2600 via bank transfer to the registered account, receipt 682.",genuine,deed_of_transfer,synthetic,1,Waterfalls
"Parkridge Housing Trust Reg No ZHC/2020/3208. Stand 5729 Southerton, 250 sqm. USD 1800 to the municipal account, official numbered receipt issued. Diagram/General Plan No. SG 4957/2024, Surveyor-General's office. issued under Deed of Grant No. 6009/2019.",genuine,cession,synthetic,1,Southerton
"Zvikomborero Housing Co-operative. Stand 5642 Seke, 350 sqm. USD 8500 cash on the day, no receipt issued. trust the committee; the paperwork will sort itself out. title deeds will be processed once the area is regularised by council.",fraudulent,offer_letter,synthetic,1,Seke
"Kubatana Housing Society. Stand 6715 Southerton, 250 sqm. regularisation is underway, occupation allowed in the meantime. USD 1800 cash only, non-refundable, balance to the treasurer.",fraudulent,offer_letter,synthetic,1,Southerton
"United We Stand Housing Co-operative. Stand 8337 Mabvuku, 300 sqm. the offer letter serves as proof of allocation while paperwork is finalised. ref EXC/5235 (unverified). pay USD 3200 via EcoCash to the chairperson's personal number.",fraudulent,offer_letter,synthetic,1,Mabvuku
"Tariro Housing Consortium. Stand 5991 Budiriro, 300 sqm. deposit USD 1800 to the cooperative holding account, balance negotiable. the offer letter serves as proof of allocation while paperwork is finalised.",fraudulent,offer_letter,synthetic,1,Budiriro
"Ruvimbo Yetu Housing Co-operative. Stand 6575 Waterfalls, 350 sqm. no council stamp is required for this allocation. title deeds will be processed once the area is regularised by council. USD 12000 cash, half now and half on occupation.",fraudulent,offer_letter,synthetic,1,Waterfalls
"City of Harare, Town House. Stand 2307 Whitecliff, 250 sqm. survey Diagram No. SG 4959/2020 applies. council resolution CH/RES/8713/2025 refers. registration will be lodged at the Deeds Registry, Harare. USD 3200 payable to the council bank account, receipt no. HCC-4033.",genuine,deed_of_transfer,synthetic,1,Whitecliff
"Excellence Stars Housing Co-op. Stand 5006 Caledonia, 300 sqm. deeds will come once the area is proclaimed. ref VIM/3866 (unverified). deposit USD 8500 to the cooperative holding account, balance negotiable.",fraudulent,offer_letter,synthetic,1,Caledonia
"Vimbai Housing Scheme. Stand 3410 Waterfalls, 200 sqm. the stand is pending council survey; you may occupy immediately. no need to involve a lawyer, the cooperative handles everything. pay USD 1800 via EcoCash to the chairperson's personal number.",fraudulent,offer_letter,synthetic,1,Waterfalls
"Garikai Land Trust Reg No GHH/2018/9123. Stand 1237 Glen View, 250 sqm. USD 2600 to the municipal account, official numbered receipt issued. cession approved by council per letter CH/COOP/2025/1663. held under General Plan SG 7739/2018, Surveyor-General Harare.",genuine,cession,synthetic,1,Glen View
"Harare City Council Housing Department. Stand 6076 Caledonia, 200 sqm. Diagram/General Plan No. SG 1491/2024, Surveyor-General's office. your conveyancer should conduct a deeds search before transfer. USD 12000 via bank transfer to the registered account, receipt 8725. cession approved by council per letter CH/COOP/2025/2936.",genuine,deed_of_transfer,synthetic,1,Caledonia
"Batanai Cooperative. Stand 1347 Waterfalls, 200 sqm. USD 900 cash only, non-refundable, balance to the treasurer. regularisation is underway, occupation allowed in the meantime.",fraudulent,offer_letter,synthetic,1,Waterfalls
"Tashinga Home Seekers Trust. Stand 1122 Melfort, 350 sqm. ref BAT/3402 (unverified). USD 1200 cash on the day, no receipt issued. the offer letter serves as proof of allocation while paperwork is finalised. trust the committee; the paperwork will sort itself out.",fraudulent,offer_letter,synthetic,1,Melfort
"Ruvimbo Yetu Housing Co-operative. Stand 7115 Whitecliff, 200 sqm. no council stamp is required for this allocation. papers are in progress and will follow after regularisation. pay USD 8500 via EcoCash to the chairperson's personal number.",fraudulent,offer_letter,synthetic,1,Whitecliff
"Garikai Land Trust. Stand 1804 Seke, 350 sqm. title deeds will be processed once the area is regularised by council. deposit USD 8500 to the cooperative holding account, balance negotiable.",fraudulent,offer_letter,synthetic,1,Seke
"Takaitora Nyika Co-operative Reg No ZHC/2024/7778. Stand 443 Hopley, 250 sqm. held under General Plan SG 4206/2018, Surveyor-General Harare. planning consent ref. CH/PLAN/2025/3426 attached. USD 2000 via bank transfer to the registered account, receipt 7680.",genuine,cession,synthetic,1,Hopley
"Ruvimbo Yetu Housing Co-operative. Stand 9147 Epworth, 200 sqm. deeds will come once the area is proclaimed. USD 8500 cash, half now and half on occupation.",fraudulent,offer_letter,synthetic,1,Epworth
"Takaitora Nyika Co-operative. Stand 850 Southerton, 350 sqm. the offer letter serves as proof of allocation while paperwork is finalised. deposit USD 12000 to the cooperative holding account, balance negotiable. ref GAR/4729 (unverified).",fraudulent,offer_letter,synthetic,1,Southerton
"United We Stand Housing Co-operative. Stand 4886 Glen View, 300 sqm. USD 2600 cash on the day, no receipt issued. trust the committee; the paperwork will sort itself out. deeds will come once the area is proclaimed.",fraudulent,offer_letter,synthetic,1,Glen View
"United We Stand Housing Co-operative Reg No GHH/2020/335. Stand 1147 Budiriro, 250 sqm. USD 3200 payable to the council bank account, receipt no. HCC-1535. held under General Plan SG 6880/2018, Surveyor-General Harare. planning consent ref. CH/PLAN/2025/109 attached.",genuine,cession,synthetic,1,Budiriro
"Takaitora Nyika Co-operative. Stand 4551 Waterfalls, 350 sqm. deeds will come once the area is proclaimed. USD 2600 cash on the day, no receipt issued.",fraudulent,offer_letter,synthetic,1,Waterfalls
"City of Harare, Town House. Stand 4295 Caledonia, 300 sqm. survey Diagram No. SG 458/2020 applies. council resolution CH/RES/7327/2025 refers. USD 1200 payable to the council bank account, receipt no. HCC-603. registration will be lodged at the Deeds Registry, Harare.",genuine,deed_of_transfer,synthetic,1,Caledonia
"Zvikomborero Housing Co-operative Reg No GHH/2024/4175. Stand 2870 Retreat, 250 sqm. USD 12000 to the municipal account, official numbered receipt issued. survey Diagram No. SG 2173/2020 applies. planning consent ref. CH/PLAN/2025/5515 attached.",genuine,cession,synthetic,1,Retreat
"Chitungwiza Municipality Housing Office. Stand 6386 Domboshava, 300 sqm. survey Diagram No. SG 5434/2020 applies. deposit USD 1500 into the conveyancer's trust account, balance on transfer. council resolution CH/RES/5578/2025 refers.",genuine,deed_of_transfer,synthetic,1,Domboshava
"Mabvuku-Tafara District Housing Office. Stand 9007 Glen View, 300 sqm. survey Diagram No. SG 417/2020 applies. deposit USD 2600 into the conveyancer's trust account, balance on transfer. council resolution CH/RES/7438/2025 refers.",genuine,offer_letter,synthetic,1,Glen View
"City of Harare, Town House. Stand 1337 Retreat, 200 sqm. survey Diagram No. SG 3123/2020 applies. issued under Deed of Grant No. 9569/2019. USD 1200 payable to the council bank account, receipt no. HCC-8699.",genuine,deed_of_transfer,synthetic,1,Retreat
"United We Stand Housing Co-operative Reg No MTH/2024/3471. Stand 4854 Caledonia, 300 sqm. registration verifiable at Registrar of Cooperative Societies. council file reference CH/HOU/2026/6677. Diagram/General Plan No. SG 67/2024, Surveyor-General's office. USD 8500 payable to the council bank account, receipt no. HCC-3802.",genuine,cession,synthetic,1,Caledonia
"Chitungwiza Municipality Housing Office. Stand 3076 Southerton, 200 sqm. deposit USD 1500 into the conveyancer's trust account, balance on transfer. held under General Plan SG 4304/2018, Surveyor-General Harare. council resolution CH/RES/3086/2025 refers.",genuine,deed_of_transfer,synthetic,1,Southerton
"Tashinga Home Seekers Trust. Stand 5210 Southlea Park, 250 sqm. title deeds will be processed once the area is regularised by council. USD 2600 cash on the day, no receipt issued.",fraudulent,offer_letter,synthetic,1,Southlea Park
"Bantu Housing Co-operative. Stand 2486 Domboshava, 250 sqm. ref TAR/4014 (unverified). allocation fee USD 1500, cash only, paid directly to the committee. deeds will come once the area is proclaimed.",fraudulent,offer_letter,synthetic,1,Domboshava
"Tariro Housing Consortium Reg No MTH/2021/4922. Stand 3568 Caledonia, 250 sqm. council resolution CH/RES/2892/2025 refers. held under General Plan SG 4553/2018, Surveyor-General Harare. USD 2400 via bank transfer to the registered account, receipt 7582.",genuine,cession,synthetic,1,Caledonia
"Garikai Land Trust Reg No ZHC/2018/7419. Stand 1705 Mabvuku, 300 sqm. registration verifiable at Registrar of Cooperative Societies. USD 1800 payable to the council bank account, receipt no. HCC-3133. planning consent ref. CH/PLAN/2025/8311 attached. Diagram/General Plan No. SG 8944/2024, Surveyor-General's office.",genuine,cession,synthetic,1,Mabvuku
"Excellence Stars Housing Co-op. Stand 120 Waterfalls, 350 sqm. regularisation is underway, occupation allowed in the meantime. USD 1800 cash, half now and half on occupation.",fraudulent,offer_letter,synthetic,1,Waterfalls
"Zvikomborero Housing Co-operative Reg No MTH/2019/9780. Stand 6254 Budiriro, 250 sqm. council file reference CH/HOU/2026/794. registration verifiable at Registrar of Cooperative Societies. survey Diagram No. SG 8844/2020 applies. deposit USD 2600 into the conveyancer's trust account, balance on transfer.",genuine,cession,synthetic,1,Budiriro
"Vimbai Housing Scheme. Stand 748 Hopley, 300 sqm. deposit USD 2400 to the cooperative holding account, balance negotiable. the offer letter serves as proof of allocation while paperwork is finalised.",fraudulent,offer_letter,synthetic,1,Hopley
"Simukai Land Group Reg No GHH/2022/6968. Stand 3008 Glen View, 250 sqm. cession approved by council per letter CH/COOP/2025/5304. USD 1500 payable to the council bank account, receipt no. HCC-371. held under General Plan SG 7795/2018, Surveyor-General Harare.",genuine,cession,synthetic,1,Glen View
"Bantu Housing Co-operative. Stand 7221 Domboshava, 350 sqm. USD 2000 cash only, non-refundable, balance to the treasurer. the stand is pending council survey; you may occupy immediately.",fraudulent,offer_letter,synthetic,1,Domboshava
"Ruvimbo Yetu Housing Co-operative. Stand 4397 Southerton, 350 sqm. the stand is pending council survey; you may occupy immediately. ref EXC/1439 (unverified). allocation fee USD 8500, cash only, paid directly to the committee.",fraudulent,offer_letter,synthetic,1,Southerton
"United We Stand Housing Co-operative Reg No ZHC/2020/7159. Stand 2667 Epworth, 300 sqm. council resolution CH/RES/6911/2025 refers. held under General Plan SG 8528/2018, Surveyor-General Harare. deposit USD 2400 into the conveyancer's trust account, balance on transfer.",genuine,cession,synthetic,1,Epworth
"Harare City Council Housing Department. Stand 2084 Hopley, 200 sqm. held under General Plan SG 9451/2018, Surveyor-General Harare. registration will be lodged at the Deeds Registry, Harare. USD 8500 payable to the council bank account, receipt no. HCC-8175. issued under Deed of Grant No. 8277/2019.",genuine,offer_letter,synthetic,1,Hopley
"City of Harare Housing and Community Services Department. Stand 7235 Retreat, 300 sqm. council resolution CH/RES/5353/2025 refers. a Rates Clearance Certificate is annexed. survey Diagram No. SG 5215/2020 applies. USD 1500 to the municipal account, official numbered receipt issued.",genuine,offer_letter,synthetic,1,Retreat
"Harare City Council Housing Department. Stand 1696 Hopley, 200 sqm. title deed processing will commence within 12 months of full payment. cession approved by council per letter CH/COOP/2025/867. Diagram/General Plan No. SG 4109/2024, Surveyor-General's office. USD 1200 via bank transfer to the registered account, receipt 4228.",genuine,deed_of_transfer,synthetic,1,Hopley
"City of Harare Housing and Community Services Department. Stand 7109 Caledonia, 250 sqm. held under General Plan SG 1774/2018, Surveyor-General Harare. USD 1800 to the municipal account, official numbered receipt issued. council file reference CH/HOU/2026/3999.",genuine,offer_letter,synthetic,1,Caledonia
"Garikai Land Trust Reg No ZHC/2018/6111. Stand 4287 Melfort, 300 sqm. registration verifiable at Registrar of Cooperative Societies. USD 1500 via bank transfer to the registered account, receipt 3591. issued under Deed of Grant No. 9660/2019. survey Diagram No. SG 6861/2020 applies.",genuine,cession,synthetic,1,Melfort
"Bantu Housing Co-operative. Stand 3586 Caledonia, 350 sqm. deposit USD 12000 to the cooperative holding account, balance negotiable. trust the committee; the paperwork will sort itself out. ref KUB/8311 (unverified). papers are in progress and will follow after regularisation.",fraudulent,offer_letter,synthetic,1,Caledonia
"Ruvimbo Yetu Housing Co-operative. Stand 5401 Epworth, 350 sqm. allocation fee USD 2400, cash only, paid directly to the committee. no council stamp is required for this allocation. papers are in progress and will follow after regularisation.",fraudulent,offer_letter,synthetic,1,Epworth
"Bulawayo City Council Housing Office. Stand 3112 Southerton, 300 sqm. deposit USD 900 into the conveyancer's trust account, balance on transfer. Diagram/General Plan No. SG 3836/2024, Surveyor-General's office. planning consent ref. CH/PLAN/2025/963 attached.",genuine,deed_of_transfer,synthetic,1,Southerton
"Excellence Stars Housing Co-op. Stand 3492 Southlea Park, 200 sqm. this cooperative allocates stands directly to members. papers are in progress and will follow after regularisation. USD 1200 cash, half now and half on occupation.",fraudulent,offer_letter,synthetic,1,Southlea Park
"Bulawayo City Council Housing Office. Stand 6566 Budiriro, 200 sqm. deposit USD 2400 into the conveyancer's trust account, balance on transfer. your conveyancer should conduct a deeds search before transfer. council file reference CH/HOU/2026/6723. Diagram/General Plan No. SG 8824/2024, Surveyor-General's office.",genuine,offer_letter,synthetic,1,Budiriro
"Ruvimbo Yetu Housing Co-operative. Stand 7618 Southlea Park, 250 sqm. no need to involve a lawyer, the cooperative handles everything. deposit USD 2400 to the cooperative holding account, balance negotiable. ref UNI/1927 (unverified). regularisation is underway, occupation allowed in the meantime.",fraudulent,offer_letter,synthetic,1,Southlea Park
"Excellence Stars Housing Co-op. Stand 7691 Southlea Park, 300 sqm. keep this letter safe as your only proof of allocation. USD 1800 cash on the day, no receipt issued. ref VIM/454 (unverified). council has verbally approved the layout; written confirmation to follow.",fraudulent,offer_letter,synthetic,1,Southlea Park
"Tariro Housing Consortium Reg No MTH/2019/7045. Stand 9738 Caledonia, 300 sqm. planning consent ref. CH/PLAN/2025/5132 attached. held under General Plan SG 2505/2018, Surveyor-General Harare. USD 1800 to the municipal account, official numbered receipt issued. registration verifiable at Registrar of Cooperative Societies.",genuine,cession,synthetic,1,Caledonia
"Mabvuku-Tafara District Housing Office. Stand 3574 Hopley, 200 sqm. survey Diagram No. SG 2175/2020 applies. a Rates Clearance Certificate is annexed. USD 12000 payable to the council bank account, receipt no. HCC-168. planning consent ref. CH/PLAN/2025/9542 attached.",genuine,offer_letter,synthetic,1,Hopley
"Ruvimbo Yetu Housing Co-operative. Stand 1078 Mabvuku, 350 sqm. USD 12000 cash on the day, no receipt issued. this cooperative allocates stands directly to members. deeds will come once the area is proclaimed.",fraudulent,offer_letter,synthetic,1,Mabvuku
"Zvikomborero Housing Co-operative. Stand 4798 Hopley, 300 sqm. USD 3200 cash only, non-refundable, balance to the treasurer. council has verbally approved the layout; written confirmation to follow.",fraudulent,offer_letter,synthetic,1,Hopley
"United We Stand Housing Co-operative. Stand 1830 Domboshava, 250 sqm. USD 2600 cash on the day, no receipt issued. deeds will come once the area is proclaimed.",fraudulent,offer_letter,synthetic,1,Domboshava
"Batanai Cooperative. Stand 4442 Mabvuku, 350 sqm. USD 900 cash only, non-refundable, balance to the treasurer. the stand is pending council survey; you may occupy immediately.",fraudulent,offer_letter,synthetic,1,Mabvuku
"Zvikomborero Housing Co-operative. Stand 8627 Southlea Park, 250 sqm. deposit USD 2000 to the cooperative holding account, balance negotiable. the stand is pending council survey; you may occupy immediately.",fraudulent,offer_letter,synthetic,1,Southlea Park
"Chitungwiza Municipality Housing Office. Stand 7205 Domboshava, 200 sqm. USD 1500 via bank transfer to the registered account, receipt 4825. Diagram/General Plan No. SG 9086/2024, Surveyor-General's office. issued under Deed of Grant No. 4200/2019.",genuine,offer_letter,synthetic,1,Domboshava
"Bulawayo City Council Housing Office. Stand 994 Epworth, 200 sqm. a Rates Clearance Certificate is annexed. USD 3200 payable to the council bank account, receipt no. HCC-8982. planning consent ref. CH/PLAN/2025/3639 attached. survey Diagram No. SG 6617/2020 applies.",genuine,deed_of_transfer,synthetic,1,Epworth
"Bantu Housing Co-operative. Stand 9920 Mabvuku, 200 sqm. the stand is pending council survey; you may occupy immediately. USD 1800 cash only, non-refundable, balance to the treasurer.",fraudulent,offer_letter,synthetic,1,Mabvuku
"Excellence Stars Housing Co-op. Stand 3362 Seke, 250 sqm. allocation fee USD 2400, cash only, paid directly to the committee. keep this letter safe as your only proof of allocation. papers are in progress and will follow after regularisation.",fraudulent,offer_letter,synthetic,1,Seke
"Batanai Cooperative. Stand 9099 Seke, 200 sqm. the offer letter serves as proof of allocation while paperwork is finalised. USD 2600 cash on the day, no receipt issued. trust the committee; the paperwork will sort itself out. ref RUV/523 (unverified).",fraudulent,offer_letter,synthetic,1,Seke
"Tashinga Home Seekers Trust Reg No ZHC/2021/8212. Stand 8523 Southerton, 250 sqm. Diagram/General Plan No. SG 5606/2024, Surveyor-General's office. deposit USD 1200 into the conveyancer's trust account, balance on transfer. issued under Deed of Grant No. 8158/2019.",genuine,cession,synthetic,1,Southerton
"United We Stand Housing Co-operative. Stand 6243 Budiriro, 300 sqm. papers are in progress and will follow after regularisation. trust the committee; the paperwork will sort itself out. ref TAK/4624 (unverified). USD 3200 cash on the day, no receipt issued.",fraudulent,offer_letter,synthetic,1,Budiriro
"United We Stand Housing Co-operative. Stand 6849 Southlea Park, 250 sqm. no need to involve a lawyer, the cooperative handles everything. USD 2000 cash only, non-refundable, balance to the treasurer. papers are in progress and will follow after regularisation.",fraudulent,offer_letter,synthetic,1,Southlea Park
"Kubatana Housing Society Reg No GHH/2023/5450. Stand 4816 Melfort, 250 sqm. USD 2600 to the municipal account, official numbered receipt issued. held under General Plan SG 5840/2018, Surveyor-General Harare. planning consent ref. CH/PLAN/2025/9605 attached. registration verifiable at Registrar of Cooperative Societies.",genuine,cession,synthetic,1,Melfort
"Tariro Housing Consortium. Stand 2804 Whitecliff, 350 sqm. allocation fee USD 2600, cash only, paid directly to the committee. title deeds will be processed once the area is regularised by council.",fraudulent,offer_letter,synthetic,1,Whitecliff
"Kubatana Housing Society Reg No MTH/2018/9199. Stand 1882 Glen View, 300 sqm. USD 2000 to the municipal account, official numbered receipt issued. survey Diagram No. SG 5903/2020 applies. planning consent ref. CH/PLAN/2025/4337 attached.",genuine,cession,synthetic,1,Glen View
"Zvikomborero Housing Co-operative Reg No MTH/2019/207. Stand 4650 Budiriro, 250 sqm. issued under Deed of Grant No. 8073/2019. USD 12000 payable to the council bank account, receipt no. HCC-1563. survey Diagram No. SG 1697/2020 applies.",genuine,cession,synthetic,1,Budiriro
"Excellence Stars Housing Co-op Reg No GHH/2020/7411. Stand 2598 Whitecliff, 300 sqm. council resolution CH/RES/2310/2025 refers. USD 3200 via bank transfer to the registered account, receipt 2776. Diagram/General Plan No. SG 8332/2024, Surveyor-General's office. registration verifiable at Registrar of Cooperative Societies.",genuine,cession,synthetic,1,Whitecliff
"Bulawayo City Council Housing Office. Stand 3212 Southerton, 250 sqm. a Rates Clearance Certificate is annexed. council resolution CH/RES/8445/2025 refers. survey Diagram No. SG 4101/2020 applies. USD 2000 payable to the council bank account, receipt no. HCC-8442.",genuine,offer_letter,synthetic,1,Southerton
"Tariro Housing Consortium Reg No ZHC/2023/170. Stand 1384 Mabvuku, 250 sqm. council file reference CH/HOU/2026/3747. registration verifiable at Registrar of Cooperative Societies. deposit USD 2600 into the conveyancer's trust account, balance on transfer. Diagram/General Plan No. SG 5358/2024, Surveyor-General's office.",genuine,cession,synthetic,1,Mabvuku
"Mabvuku-Tafara District Housing Office. Stand 4592 Hopley, 200 sqm. USD 900 to the municipal account, official numbered receipt issued. survey Diagram No. SG 9198/2020 applies. council file reference CH/HOU/2026/5216. a Rates Clearance Certificate is annexed.",genuine,deed_of_transfer,synthetic,1,Hopley
"Bantu Housing Co-operative Reg No ZHC/2024/2857. Stand 7451 Seke, 300 sqm. council resolution CH/RES/6151/2025 refers. Diagram/General Plan No. SG 5226/2024, Surveyor-General's office. deposit USD 8500 into the conveyancer's trust account, balance on transfer. registration verifiable at Registrar of Cooperative Societies.",genuine,cession,synthetic,1,Seke
"Zvikomborero Housing Co-operative Reg No MTH/2024/8745. Stand 8496 Budiriro, 250 sqm. Diagram/General Plan No. SG 5363/2024, Surveyor-General's office. planning consent ref. CH/PLAN/2025/3670 attached. USD 8500 payable to the council bank account, receipt no. HCC-6839.",genuine,cession,synthetic,1,Budiriro
"Tariro Housing Consortium. Stand 6328 Epworth, 200 sqm. pay USD 1800 via EcoCash to the chairperson's personal number. papers are in progress and will follow after regularisation. ref RUV/1473 (unverified).",fraudulent,offer_letter,synthetic,1,Epworth
"Batanai Cooperative. Stand 4160 Hopley, 350 sqm. USD 2400 cash only, non-refundable, balance to the treasurer. the stand is pending council survey; you may occupy immediately.",fraudulent,offer_letter,synthetic,1,Hopley
"Mabvuku-Tafara District Housing Office. Stand 3600 Mabvuku, 250 sqm. a Rates Clearance Certificate is annexed. deposit USD 1500 into the conveyancer's trust account, balance on transfer. council resolution CH/RES/6812/2025 refers. Diagram/General Plan No. SG 8390/2024, Surveyor-General's office.",genuine,deed_of_transfer,synthetic,1,Mabvuku
"Zvikomborero Housing Co-operative. Stand 9862 Whitecliff, 350 sqm. USD 2000 cash, half now and half on occupation. regularisation is underway, occupation allowed in the meantime.",fraudulent,offer_letter,synthetic,1,Whitecliff
"Mabvuku-Tafara District Housing Office. Stand 6775 Southlea Park, 300 sqm. council file reference CH/HOU/2026/1559. Diagram/General Plan No. SG 3665/2024, Surveyor-General's office. deposit USD 2600 into the conveyancer's trust account, balance on transfer. registration will be lodged at the Deeds Registry, Harare.",genuine,offer_letter,synthetic,1,Southlea Park
"Tariro Housing Consortium. Stand 5681 Hopley, 250 sqm. papers are in progress and will follow after regularisation. pay USD 1800 via EcoCash to the chairperson's personal number.",fraudulent,offer_letter,synthetic,1,Hopley
"Chitungwiza Municipality Housing Office. Stand 3528 Retreat, 200 sqm. USD 12000 payable to the council bank account, receipt no. HCC-7988. issued under Deed of Grant No. 9442/2019. Diagram/General Plan No. SG 2081/2024, Surveyor-General's office.",genuine,deed_of_transfer,synthetic,1,Retreat
"Simukai Land Group. Stand 4916 Budiriro, 350 sqm. the stand is pending council survey; you may occupy immediately. USD 1500 cash on the day, no receipt issued.",fraudulent,offer_letter,synthetic,1,Budiriro
